Address,Amount,UniqueTokens,Percentage,Type
0x8C48678E0d8855094DbA3b43a22Ae6cc687FEFFE,5,5,1.501502%,EOA
0x768F8ECe2601a05C5D2bea98013DFD91EA6740b9,5,5,1.501502%,EOA
0x46570c43b0c4f62e231c910b22de6938E4BdaA8d,5,5,1.501502%,EOA
0xc42dE2FA9B159f1Cd0e1f76988B144Ca037AAfF5,4,4,1.201201%,EOA
0x6409FecEA41dFAc822Ca467A54d4fdcc9dde78e7,4,4,1.201201%,EOA
0x2b6B992069E655D87301F424bd2c785B64B0b1dC,4,4,1.201201%,EOA
0x2A40580E48FF729f7B442288f178e692eBC7565B,4,4,1.201201%,EOA
0xb70d385E398eD51f8367Af8092Cd03fA6dd868E7,3,3,0.900901%,EOA
0x99060fc35aA684D9278bC96beFe0D09696603edc,3,3,0.900901%,EOA
0x2F23158efc11c579d2bD5b479b84DC5DA1807da5,3,3,0.900901%,EOA
0x231887E9382a866623a7aF7AE9AD80be2b9109b5,3,3,0.900901%,EOA
0x03AFAdF90aE7F292F79a0e4A5DEC9563049c88F3,3,3,0.900901%,EOA
0xFaB8A7F3d3a7B8D3d2FB53a5ff64668d3d8F91Ac,2,2,0.600601%,EOA
0xF9e274e5ef198394A7320DB5892d6e05E7F57a45,2,2,0.600601%,EOA
0xd9978D36016448423b9657eb8c818D0Be95A08a3,2,2,0.600601%,EOA
0xC526E2387ed20EdAB146728e28618cAABabe0E21,2,2,0.600601%,EOA
0x9e65f7371243a0B421d9825FeFc8d27034C0d7Bf,2,2,0.600601%,EOA
0x9De6114eB7c8E185D028d6A5d9BCcFDd3f1c7Ffc,2,2,0.600601%,EOA
0x6b829179CE2d8Cf88a6DF95137e5599330E89E21,2,2,0.600601%,EOA
0x69D23a26Af9ecF9898efc2A0D083a595921c4BA9,2,2,0.600601%,EOA
0x593F20f98A406A18A5Dfe6Bac2b5f247982959Df,2,2,0.600601%,EOA
0x2a670eF8FC052d5CC2d6D556974DA7FbC66a9bdB,2,2,0.600601%,EOA
0x1c27900fce5B1fbe7Ef9A413D5B554aeA9d37AB4,2,2,0.600601%,EOA
0x0E27aA67039934a382f6CB7BaAD46B6C8517a635,2,2,0.600601%,EOA
0x083110A46F0788c4bAfA5e6F4BeA0cE1d553e65C,2,2,0.600601%,EOA
0x0074dC2a6680BA1850da3F47B0af9eF3a9f25A86,2,2,0.600601%,EOA
0xFF3D696f0b90ecd643F740Be1f4a459365041eF0,1,1,0.300300%,EOA
0xFeE5d79340dA7F922688Bd97dA9B9a56a1aeB67f,1,1,0.300300%,EOA
0xFE6844fcCEf8aBdE672cC46c48Ac94585625e2EC,1,1,0.300300%,EOA
0xfCF06eB434762aeD4B55300DAC713c6Bc3484117,1,1,0.300300%,EOA
0xfcDc0E724E530128DDF137d384265D7067eeE146,1,1,0.300300%,EOA
0xF90Fff052B45b23d1f84B8867F912e9c1F0db4A8,1,1,0.300300%,EOA
0xf7eF8565De9F43b061FAA3075F9796a3C4A3c36a,1,1,0.300300%,EOA
0xF73d0ea39365864783b8665ff61cd574173D77FB,1,1,0.300300%,EOA
0xf68ED322A0A9d2437C2b521c635e6C409Ef4B386,1,1,0.300300%,EOA
0xf61573159409d01aef6F3Cd377ED172D0E667166,1,1,0.300300%,EOA
0xf6101e75E15aC2e45810CB27459BC40376dB29A3,1,1,0.300300%,EOA
0xf5672c52F990b1b603a1B794BEBEd56A4090C279,1,1,0.300300%,EOA
0xF44c4F7587D2a40D44051CFE1206F89B8fb2Bb5d,1,1,0.300300%,EOA
0xF408D17dF0187B90d33FDFF1E604F08fC74a0c00,1,1,0.300300%,EOA
0xf159571aBED968c1F95825e4d3f5CbC66FBa72d3,1,1,0.300300%,EOA
0xf13e4CDcc44093B889aeB296086975ac9F8d7819,1,1,0.300300%,EOA
0xF0b7288458152CF19739E7b2DE9D9A6CFF6fc601,1,1,0.300300%,EOA
0xF0910972f562E02852d2F1EEA8A477cA8842D46c,1,1,0.300300%,EOA
0xeF386dAe65d01186Eca981887639f38430cC44A5,1,1,0.300300%,EOA
0xeeefc0dbC0F1363100c483959ab6615bbd16A52b,1,1,0.300300%,EOA
0xeE66d80FeCddbf65848F1d7FceD4E2c1B49a2e4b,1,1,0.300300%,EOA
0xee619a80A689f2532815aFfA05d8Ed0e717aa96A,1,1,0.300300%,EOA
0xEb0a0E981202428600C013897C7571C64107e92D,1,1,0.300300%,EOA
0xeaE48bA4caC6F6485E433471601a407f678865f2,1,1,0.300300%,EOA
0xea2af5588b745A30Aa791748AD95884f3Fc18E9f,1,1,0.300300%,EOA
